time_seconds,power_watts
0.0,16.325
0.1,16.299
0.2,16.321
0.30000000000000004,16.282
0.4,16.256
0.5,16.234
0.6000000000000001,16.26
0.7000000000000001,16.268
0.8,16.262
0.9,16.283
1.0,16.292
1.1,16.299
1.2000000000000002,16.27
1.3,16.279
1.4000000000000001,16.259
1.5,16.223
1.6,16.147
1.7000000000000002,16.087
1.8,16.047
1.9000000000000001,16.001
2.0,15.973
2.1,15.939
2.2,15.915
2.3000000000000003,15.878
2.4000000000000004,15.891
2.5,15.947
2.6,16.002
2.7,17.729
2.8000000000000003,16.759
2.9000000000000004,29.684
3.0,39.604
3.1,46.043
3.2,31.317
3.3000000000000003,53.666
3.4000000000000004,25.906
3.5,38.192
3.6,62.441
3.7,52.208
3.8000000000000003,54.263
3.9000000000000004,40.515
4.0,45.911
4.1000000000000005,50.424
4.2,25.644
4.3,31.572
4.4,47.368
4.5,48.33
4.6000000000000005,29.119
4.7,27.361
4.800000000000001,35.608
4.9,56.218
5.0,44.621
5.1000000000000005,48.138
5.2,73.096
5.300000000000001,61.172
5.4,56.972
5.5,26.061
5.6000000000000005,25.654
5.7,46.758
5.800000000000001,49.799
5.9,26.168
6.0,50.335
6.1000000000000005,52.53
6.2,27.744
6.300000000000001,26.278
6.4,78.892
6.5,52.603
6.6000000000000005,44.573
6.7,26.108
6.800000000000001,76.191
6.9,62.233
7.0,57.085
7.1000000000000005,56.774
7.2,26.116
7.300000000000001,33.62
7.4,65.641
7.5,30.753
7.6000000000000005,44.009
7.7,47.106
7.800000000000001,56.715
7.9,56.85
8.0,62.599
8.1,34.542
8.200000000000001,73.036
8.3,67.724
8.4,26.007
8.5,61.427
8.6,75.748
8.700000000000001,30.972
8.8,28.56
8.9,81.575
9.0,26.148
9.1,77.292
9.200000000000001,72.567
9.3,46.503
9.4,56.959
9.5,54.878
9.600000000000001,26.18
9.700000000000001,59.347
9.8,70.428
9.9,27.017
10.0,65.608
10.100000000000001,66.198
10.200000000000001,26.402
10.3,90.339
10.4,61.503
10.5,26.343
10.600000000000001,69.462
10.700000000000001,62.966
10.8,63.359
10.9,56.683
11.0,26.294
11.100000000000001,73.213
11.200000000000001,68.191
11.3,26.265
11.4,114.894
11.5,62.28
11.600000000000001,44.808
11.700000000000001,43.087
11.8,77.175
11.9,68.54
12.0,51.16
12.100000000000001,27.156
12.200000000000001,49.55
12.3,59.88
12.4,55.55
12.5,51.392
12.600000000000001,51.705
12.700000000000001,52.36
12.8,30.997
12.9,27.907
13.0,68.429
13.100000000000001,51.179
13.200000000000001,39.578
13.3,56.067
13.4,73.921
13.5,42.018
13.600000000000001,56.193
13.700000000000001,47.499
13.8,77.321
13.9,67.421
14.0,55.229
14.100000000000001,74.34
14.200000000000001,66.157
14.3,61.14
14.4,49.972
14.5,52.663
14.600000000000001,54.454
14.700000000000001,53.481
14.8,49.845
14.9,92.094
15.0,69.218
15.100000000000001,50.165
15.200000000000001,31.724
15.3,51.433
15.4,54.131
15.5,52.295
15.600000000000001,57.395
15.700000000000001,27.658
15.8,74.328
15.9,43.497
16.0,52.326
16.1,54.8
16.2,27.301
16.3,69.451
16.400000000000002,66.398
16.5,56.734
16.6,57.929
16.7,27.306
16.8,36.521
16.900000000000002,65.477
17.0,47.242
17.1,57.727
17.2,56.178
17.3,33.668
17.400000000000002,65.691
17.5,65.441
17.6,32.152
17.7,27.22
17.8,78.573
17.900000000000002,27.92
18.0,72.615
18.1,66.545
18.2,26.733
18.3,74.719
18.400000000000002,66.315
18.5,50.563
18.6,27.636
18.7,56.603
18.8,81.558
18.900000000000002,26.833
19.0,60.966
19.1,69.857
19.200000000000003,30.591
19.3,67.521
19.400000000000002,20.72
19.5,50.663
19.6,53.709
19.700000000000003,54.954
19.8,28.354
19.900000000000002,65.521
20.0,59.619
20.1,27.882
20.200000000000003,38.204
20.3,43.568
20.400000000000002,43.983
20.5,27.178
20.6,43.124
20.700000000000003,48.367
20.8,46.877
20.900000000000002,48.608
21.0,27.272
21.1,71.366
21.200000000000003,63.137
21.3,46.051
21.400000000000002,49.637
21.5,51.21
21.6,49.797
21.700000000000003,27.343
21.8,42.12
21.900000000000002,71.162
22.0,59.639
22.1,58.122
22.200000000000003,58.207
22.3,27.371
22.400000000000002,64.368
22.5,62.993
22.6,54.847
22.700000000000003,27.771
22.8,66.704
22.900000000000002,64.402
23.0,53.063
23.1,80.097
23.200000000000003,64.685
23.3,52.058
23.400000000000002,27.695
23.5,112.999
23.6,64.528
23.700000000000003,47.531
23.8,51.793
23.900000000000002,56.95
24.0,38.123
24.1,27.837
24.200000000000003,65.588
24.3,27.279
24.400000000000002,41.205
24.5,48.57
24.6,48.131
24.700000000000003,46.436
24.8,28.664
24.900000000000002,81.483
25.0,66.855
25.1,57.573
25.200000000000003,42.558
25.3,30.036
25.400000000000002,81.482
25.5,67.138
25.6,58.773
25.700000000000003,40.468
25.8,115.045
25.900000000000002,55.83
26.0,57.165
26.1,27.719
26.200000000000003,92.293
26.3,62.28
26.400000000000002,34.405
26.5,40.664
26.6,47.323
26.700000000000003,47.429
26.8,27.53
26.900000000000002,69.651
27.0,45.68
27.1,50.568
27.200000000000003,58.655
27.3,57.13
27.400000000000002,27.569
27.5,77.69
27.6,65.709
27.700000000000003,27.638
27.8,91.422
27.900000000000002,66.138
28.0,51.872
28.1,58.305
28.200000000000003,27.63
28.3,56.764
28.400000000000002,72.063
28.5,28.092
28.6,74.931
28.700000000000003,36.267
28.8,34.96
28.900000000000002,39.894
29.0,58.181
29.1,35.792
29.200000000000003,90.175
29.3,65.695
29.400000000000002,62.012
29.5,59.339
29.6,59.373
29.700000000000003,28.254
29.8,71.416
29.900000000000002,66.605
30.0,60.335
30.1,32.395
30.200000000000003,73.196
30.3,67.974
30.400000000000002,52.618
30.5,37.78
30.6,76.064
30.700000000000003,67.145
30.8,27.817
30.900000000000002,29.575
31.0,67.545
31.1,53.246
31.200000000000003,59.007
31.3,28.096
31.400000000000002,62.161
31.5,63.961
31.6,31.538
31.700000000000003,32.447
31.8,53.984
31.900000000000002,53.984
32.0,27.931
32.1,37.808
32.2,78.44
32.300000000000004,56.838
32.4,46.15
32.5,81.692
32.6,58.628
32.7,54.651
32.800000000000004,43.061
32.9,37.574
33.0,79.619
33.1,55.529
33.2,41.972
33.300000000000004,39.433
33.4,48.213
33.5,55.44
33.6,44.788
33.7,42.188
33.800000000000004,49.402
33.9,49.924
34.0,57.779
34.1,28.714
34.2,66.865
